AR,Lambda_c_4,c_r_extension_factor,D_f,twist_r,delta_twist_k,delta_twist_t,alpha,mach,Cl,Cm,Cd
7.5535,28.2137,1.3658,6.14658918,4.3664,-3.3671,-2.6924,2.4105,0.75,0.5117277429418097,-0.1698793364943058,0.0236280810273592
8.8473,35.3156,1.3404,6.4858,4.8286,-4.7202,-3.324,3.7337,0.8,0.5947199376398272,-0.2376274350664542,0.0272645792150964
7.6918,31.101,1.056,6.29678192,7.0987,-3.848,-5.7325,2.8463,0.85,0.6712833570904945,-0.1763521532215326,0.0604374707175714
9.411,25.2463,1.1231,6.238,7.1201,-6.77,-5.4939,1.3522,0.8,0.4015937642952794,-0.110121950432321,0.0185561300455568
8.5056,29.3964,1.3494,6.2332,7.6767,-6.2323,-2.1093,2.8631,0.775,0.7147914454863333,-0.2413133133314036,0.0385620864417727
9.5994,35.7015,1.3502,6.147,4.0529,-3.8733,-5.9222,0.725,0.8,0.1941303951629762,-0.0933244732164619,0.012821086414019
8.9243,25.0509,1.2408,6.22706908,5.6113,-6.2489,-7.1479,2.1361,0.85,0.3717301356569811,-0.1033839681418489,0.021912176293724
7.9514,35.5873,1.2166,6.161671699999999,8.2121,-3.1138,-2.9605,0.4048,0.75,0.6323068825623143,-0.2879953592219455,0.0333208493365251
8.1558,27.7371,1.0727,6.52472152,8.8042,-6.8415,-4.526,0.7715,0.75,0.4647632298075503,-0.1446989785201426,0.0212746982356793
10.3077,25.5319,1.2349,6.18555024,8.9118,-3.3674,-6.5981,1.1462,0.75,0.7181743055796777,-0.2532024843513117,0.0500188896054964
8.0637,30.7967,1.1768,6.1396,8.0726,-6.2172,-4.3577,3.6157,0.775,0.7135391153278853,-0.2147499462085383,0.0465843889536836
7.9991,27.8653,1.2255,6.1806,3.2792,-6.6608,-4.8181,3.2847,0.775,0.2069157297495973,-0.0411875576663136,0.0137717096221991
10.5012,36.5622,1.3188,6.3615,5.05,-4.3461,-4.94,2.3915,0.825,0.4849129223478998,-0.224213259519044,0.019997525043842
9.5901,28.461,1.2122,6.2599,6.8646,-4.0563,-1.6045,2.9716,0.825,0.7073755609635302,-0.2445743139106395,0.0713595573821411
9.6643,34.7647,1.2372,6.3278,4.1553,-4.8547,-2.8475,0.7749,0.775,0.1839729178646079,-0.1084363151855173,0.0126302931657721
10.9298,30.7725,1.3858,6.099426459999999,3.5168,-3.2801,-4.365,0.6225,0.85,0.244552997352138,-0.1325969134174622,0.0135870834435646
10.5165,34.6408,1.2962,6.4468,6.4807,-4.4901,-4.2875,2.089,0.825,0.6326458945699173,-0.3006846120023942,0.0304525731485254
8.1151,31.8147,1.1094,6.5404,3.5605,-3.4665,-3.3288,3.2501,0.75,0.4973791156249369,-0.1515054805393509,0.0223681106425654
9.254,29.1089,1.3851,6.3605,3.1274,-6.3617,-1.8881,3.7794,0.8,0.3510579515945145,-0.1113100644014791,0.0161604466805494
10.6382,31.7324,1.1176,6.4745,8.1164,-5.964,-6.4275,1.8299,0.8,0.619158684651292,-0.1903818972652945,0.0285205201835114
10.264,27.8882,1.2451,6.16742734,8.7652,-4.9344,-4.7445,2.2845,0.85,0.6790217890225501,-0.2397609875655952,0.0739120694066275
10.3093,36.4326,1.3974,6.24947188,8.5374,-6.8408,-6.9154,2.1192,0.75,0.5165849676758756,-0.2032574743397822,0.022678422857611
8.0835,26.8955,1.0377,6.5476628,6.2928,-4.5922,-5.5035,1.8823,0.75,0.5095015914910825,-0.118039301175188,0.0233687195848398
10.863,28.8141,1.3728,6.2269,5.5475,-5.9183,-7.2796,1.8239,0.8,0.3170141944338634,-0.0864831449740337,0.0162587229855831
8.6409,28.4697,1.0091,6.3593,4.868,-3.4163,-6.0743,3.0034,0.8,0.6428440253808524,-0.115555724889362,0.0311096985334252
7.5216,31.4105,1.0575,6.49383004,3.785,-6.4291,-3.2894,2.7828,0.75,0.2286165525696502,-0.0556098517212177,0.0142077557065374
7.8107,33.6254,1.077,6.301,6.0818,-4.109,-3.0353,0.7125,0.75,0.4056253690921874,-0.1689569399439576,0.0188832571402969
7.5739,25.7602,1.1526,6.096840739999999,6.0655,-5.9284,-2.7741,3.6676,0.85,0.5709400327277832,-0.1626190616638979,0.0496781193538951
10.4467,27.7372,1.2266,6.2178,7.0509,-4.4073,-3.1556,2.3895,0.75,0.7583475181997495,-0.2566125123145193,0.0392140777091316
10.8606,25.2246,1.2612,6.32775722,4.0775,-3.0863,-7.3791,3.225,0.75,0.5746665512333843,-0.1396834707951437,0.0253061138535086
9.5932,29.5922,1.2143,6.397376079999999,6.2698,-5.4488,-5.5295,1.5514,0.75,0.4020632176634685,-0.1380071605236374,0.0179685525814734
8.1148,26.5515,1.0014,6.0992,7.8244,-3.1509,-3.2347,1.8871,0.8,0.7394253045036567,-0.1640935514363554,0.0683673205637916
10.8072,31.4342,1.2879,6.3766,3.5932,-5.2965,-6.6604,0.9218,0.775,0.0409611373716426,0.0094329156463416,0.013102268839111
10.3359,25.1723,1.2792,6.15821476,7.3301,-4.1076,-7.0557,1.5352,0.75,0.6373966181827208,-0.1860964466580584,0.0294705357857233
8.0934,28.1701,1.2864,6.508234379999999,3.4219,-3.7645,-2.1879,0.1141,0.85,0.1643005046337765,-0.1151408064078971,0.0138119840970721
9.4514,32.4022,1.1775,6.1087,6.2276,-4.0876,-2.9253,2.1932,0.75,0.6150468766935576,-0.2377105249429209,0.0275799453380837
