AR,D_f,Lambda_c_4,alpha,mac,mach,twist_r,twist_t,Cd,Cf,Cl,Cm
10.3791,6.1555552,31.9514,1.2856,6.719314,0.5,7.1435,-1.1096,0.023113778,0.010092307,0.5616285,-0.1639662
7.6924,6.478041,29.5365,3.3782,8.256662,0.5,4.3063,-4.88,0.017173043,0.009894841,0.33445528,-0.08062168
9.3103,6.3998322,34.2104,1.9221,7.245156,0.5,7.8176,-4.6582,0.018771512,0.010128861,0.40242708,-0.10452491
8.8847,6.1991086,28.5571,3.0122,8.181735,0.5,6.0195,-2.5279,0.02566189,0.009474043,0.5822268,-0.17343548
10.9545,6.431135,33.1554,0.2751,6.878943,0.5,7.5377,-1.409,0.016660389,0.010154451,0.35890746,-0.16651724
10.0183,6.521996,35.7657,0.4852,7.61496,0.5,5.9161,-5.0995,0.013180594,0.009876889,0.14572671,-0.06505767
9.0032,6.115718,36.5241,2.6116,8.322861,0.5,3.5161,-3.3371,0.0149799585,0.009396303,0.29849538,-0.12891081
8.2823,6.2533126,26.7066,2.3142,8.171947,0.5,4.0176,-8.2081,0.015018626,0.009674458,0.2246265,-0.04416669
9.6513,6.357455,25.9576,3.6864,6.941618,0.5,8.8238,-1.6772,0.043777104,0.00925663,0.81932783,-0.11450137
8.0578,6.323561,30.2325,1.1355,9.020623,0.5,5.346,-1.588,0.015405552,0.009350921,0.29612702,-0.1244598
9.8773,6.305441,29.519,0.2382,6.866308,0.5,8.541,-0.4455,0.019253837,0.010262069,0.43659747,-0.14193869
9.3732,6.239411,26.1932,0.611,7.349964,0.5,3.9609,-5.762,0.0132448245,0.009942768,0.13076839,-0.049996532
8.3908,6.3035636,25.4436,0.9429,7.71061,0.5,5.6608,-2.0723,0.01912285,0.009960875,0.40626436,-0.123390555
8.3274,6.197534,37.473,1.4592,8.113518,0.5,6.6405,0.1847,0.022622842,0.009632078,0.5023129,-0.22708021
7.5992,6.311826,34.8035,2.5531,8.399669,0.5,6.2049,-1.5092,0.025857132,0.009661542,0.54976827,-0.19018313
9.9671,6.13536,29.6276,1.1212,6.713221,0.5,7.6175,1.1119,0.022337895,0.010170835,0.53486925,-0.14489353
10.3267,6.3942747,26.9208,1.0021,7.807869,0.5,4.3068,-5.758,0.013124782,0.009654229,0.15298481,-0.05494025
8.6453,6.3696775,35.8057,3.8178,7.386891,0.5,8.4702,-4.9122,0.027527945,0.0100485645,0.60833067,-0.11516296
9.4735,6.1340137,25.7477,1.3409,7.924169,0.5,4.6251,-5.5092,0.014528654,0.009550951,0.24783999,-0.075914666
9.906,6.296792,31.984,0.2022,7.829401,0.5,4.5287,-5.1228,0.0120452475,0.009601523,0.021950861,-0.02636201
9.4794,6.1387124,26.3817,3.7981,7.960635,0.5,3.6968,-7.0788,0.016644243,0.009533989,0.3378755,-0.065938726
8.1779,6.3083186,36.7539,1.268,8.894557,0.5,4.2051,-2.6764,0.014541775,0.009370859,0.26610327,-0.13052544
10.0516,6.1600714,27.2931,3.6754,7.933578,0.5,5.115,-8.3617,0.017345397,0.009472832,0.34277502,-0.05948412
9.2731,6.3664465,34.5549,1.4657,7.832849,0.5,4.6026,-2.9993,0.015925014,0.009765257,0.32144314,-0.14086778
8.4777,6.2573967,25.0548,2.9209,8.789289,0.5,4.251,-6.3293,0.01671079,0.009341694,0.32810357,-0.076199606
9.5313,6.4054456,27.4984,3.8807,7.015791,0.5,5.3968,-6.3378,0.020713843,0.010230304,0.4619442,-0.050241366
7.8512,6.2085066,32.7622,1.1641,7.78999,0.5,7.8295,-4.5334,0.019617405,0.009972505,0.4009534,-0.10449178
7.9282,6.3300786,26.6496,3.327,8.169996,0.5,7.8476,0.7979,0.040332396,0.009252013,0.7660289,-0.18651797
10.9571,6.4531975,25.672,1.1081,6.946936,0.5,7.8655,-2.0904,0.019570865,0.0101184705,0.46076328,-0.14752868
9.1131,6.1190405,32.6681,0.0177,8.216944,0.5,7.315,-0.4947,0.0153587125,0.009477809,0.30706608,-0.15680093
9.8265,6.3141046,36.1766,3.5099,7.883163,0.5,3.0696,-7.033,0.014112895,0.0096440585,0.23532471,-0.059209805
9.0601,6.260051,33.3723,0.819,7.59585,0.5,7.1325,-4.4136,0.015344396,0.0098838685,0.27648467,-0.09855162
8.6983,6.1095967,29.1811,2.2019,7.891094,0.5,5.8823,-7.4704,0.016330205,0.009661342,0.29161525,-0.061951302
8.4835,6.5422754,28.2638,0.5628,7.778447,0.5,3.236,-6.0479,0.012881892,0.010031924,0.0704147,-0.04106519
9.9958,6.532306,31.1475,3.8526,6.775178,0.5,3.5557,-7.629,0.019210206,0.0104292985,0.41148254,-0.024899945
10.6093,6.207336,36.7263,1.0934,7.472382,0.5,6.7215,-4.3858,0.017685192,0.009685561,0.39199716,-0.16502257
9.5152,6.487975,37.1467,1.576,8.321599,0.5,4.151,-6.5212,0.014177591,0.009557659,0.22505376,-0.084161125
10.6174,6.2123675,25.1792,3.1973,7.535811,0.5,8.4082,-3.732,0.027180245,0.009559856,0.6436651,-0.16234213
8.7635,6.1010394,31.7129,3.5781,8.078518,0.5,8.9416,1.8644,0.046073686,0.008418521,0.7791809,-0.2348631
8.127,6.1498,33.2147,3.8702,7.605029,0.5,5.7743,-2.2364,0.022031466,0.009914656,0.48876682,-0.1108094
10.1087,6.3998375,36.93,1.9666,7.425356,0.5,8.3803,-1.4281,0.025225176,0.009825057,0.5985416,-0.25548285
8.0968,6.3511987,33.2648,0.5813,8.956312,0.5,5.7506,-3.3318,0.016546873,0.009409259,0.3253045,-0.13834979
10.9933,6.3773227,30.2669,1.4803,6.620468,0.5,5.4066,-2.8525,0.016972836,0.010260404,0.371663,-0.11758887
10.9659,6.5288844,33.6801,1.9598,7.391742,0.5,7.5263,0.6887,0.025295865,0.009783125,0.6206798,-0.28874084
8.4131,6.515613,25.419,1.8778,8.801656,0.5,7.5509,-6.0673,0.019309595,0.009533828,0.38152578,-0.09888854
7.9396,6.507236,36.1073,1.4382,8.235558,0.5,8.73,-0.1072,0.021696538,0.009870177,0.46607777,-0.19498272
7.7095,6.4508405,28.1099,2.4393,9.082153,0.5,4.7041,-4.708,0.020258782,0.009441443,0.4195143,-0.11984439
10.0253,6.34014,27.8226,3.3674,7.972896,0.5,3.3863,-3.7912,0.01711791,0.009571373,0.38131356,-0.116692044
8.9168,6.358494,28.4447,0.9308,7.335938,0.5,7.7972,-1.5797,0.017491229,0.010136705,0.36449048,-0.11769977
9.7639,6.1921363,33.7142,1.827,7.576982,0.5,7.911,1.4636,0.025858242,0.009644448,0.611648,-0.26433188
9.1774,6.3898096,32.4682,1.1539,7.523856,0.5,6.8364,-2.8426,0.018001229,0.009981617,0.38569388,-0.1411607
9.4493,6.145357,26.8353,0.7993,7.559664,0.5,6.3835,-5.2752,0.013898232,0.009758439,0.19521093,-0.06362536
8.7342,6.492471,33.5484,3.4937,7.585914,0.5,4.5689,-2.2185,0.024297938,0.010012132,0.547802,-0.16583234
9.2404,6.3832107,34.6605,0.8216,7.431537,0.5,6.4646,-2.7841,0.016317114,0.01002614,0.32661998,-0.13383521
9.6784,6.130661,29.2625,0.9032,7.125489,0.5,4.0052,-8.6803,0.013514155,0.009918591,0.04427559,0.0072264
10.6976,6.3353114,34.7291,2.0029,7.058635,0.5,5.5577,-3.6872,0.016421512,0.009979204,0.35404047,-0.13294986
8.0048,6.4769287,34.8374,0.3738,8.32005,0.5,8.3112,1.6143,0.023769595,0.009812026,0.510436,-0.23252706
10.9002,6.2239904,36.2258,3.0367,7.365201,0.5,3.0537,-5.9309,0.0154840145,0.009712047,0.31922293,-0.11091295
10.4402,6.2446127,29.0278,0.8984,7.634611,0.5,7.5858,-2.3534,0.019892866,0.009660965,0.46654674,-0.17554727
8.6124,6.497922,30.0957,2.0542,7.569206,0.5,7.0828,0.9607,0.026633544,0.010062292,0.59412473,-0.18947056
8.2772,6.4634895,31.5317,3.7666,8.757102,0.5,7.9847,-0.023,0.03088769,0.009368034,0.65242577,-0.21642916
10.5965,6.440411,32.3521,0.863,7.312854,0.5,6.2447,-2.9925,0.017785404,0.009925234,0.39640263,-0.16661087
8.6566,6.3626823,37.0883,3.932,8.441458,0.5,7.695,2.2287,0.047164086,0.008381143,0.73153526,-0.267413
7.5065,6.276157,26.1764,0.7738,8.523316,0.5,8.7893,3.1412,0.03042998,0.009639908,0.6237192,-0.19988555
10.6674,6.1265564,31.1076,3.1048,7.058025,0.5,7.7105,1.3672,0.034927912,0.009170065,0.76258665,-0.25709057
8.1874,6.526073,31.8148,1.6089,8.867477,0.5,7.3766,-1.5256,0.021282671,0.009522026,0.45999545,-0.17452906
7.6055,6.2863474,30.001,1.6392,9.063297,0.5,8.9175,2.3081,0.031301763,0.009296838,0.63668674,-0.22197129
10.1514,6.5075307,27.0634,3.8289,6.740912,0.5,8.8977,-0.0439,0.04946921,0.008956886,0.8312358,-0.114124075
10.2138,6.140869,29.1986,1.8857,7.694826,0.5,5.0685,-3.009,0.014320249,0.009571155,0.27016392,-0.10425061
8.2899,6.175898,25.8288,2.8599,7.379821,0.5,8.813,-1.5789,0.028264485,0.010031798,0.6251791,-0.09466566
7.5406,6.212825,30.4981,1.313,9.127846,0.5,4.9299,-6.6197,0.012672995,0.009294575,0.12815164,-0.045972046
7.9848,6.5114245,31.3381,1.7532,8.599111,0.5,3.1234,-2.4803,0.015528479,0.0096777,0.28785455,-0.11780201
7.7659,6.227656,37.3751,2.106,8.171974,0.5,8.1559,-3.1927,0.025758358,0.009730389,0.5489953,-0.18354473
8.8406,6.187133,27.6303,2.2396,7.944689,0.5,6.799,-1.7436,0.019171234,0.009652427,0.4273879,-0.13521166
9.4314,6.402418,28.666,2.7021,7.067298,0.5,8.7074,-3.8933,0.026170239,0.010179456,0.59981215,-0.108867764
9.2618,6.4143434,36.5682,0.5552,7.806878,0.5,4.8423,-2.6156,0.0135440985,0.009818258,0.20549303,-0.11789871
7.7248,6.4078994,27.5079,1.7305,7.832144,0.5,7.2662,-3.0949,0.021077875,0.010087666,0.4422634,-0.10542184
9.8535,6.3406935,28.5354,2.5987,6.962898,0.5,3.6569,-3.7549,0.015518008,0.010197737,0.29916906,-0.07445071
8.576,6.280912,25.3555,3.2759,8.446543,0.5,8.5985,-2.1894,0.029475749,0.0094380155,0.6390367,-0.16125624
10.5731,6.3472033,37.349,3.9902,7.651901,0.5,5.6141,-3.3307,0.01952303,0.009622654,0.46408287,-0.18828002
9.4,6.4337335,36.3262,1.8463,8.132278,0.5,6.0803,-1.9605,0.021246878,0.009602201,0.48821542,-0.21918043
9.6642,6.426416,28.6919,1.0772,7.624099,0.5,5.2887,-0.7169,0.018418003,0.0098588355,0.4115039,-0.16883013
9.7048,6.157468,29.9882,3.3882,7.262743,0.5,8.9814,-1.0367,0.03141696,0.0096883215,0.720902,-0.19599064
10.1774,6.388237,30.5717,2.1816,6.92666,0.5,4.1768,-8.6485,0.014099684,0.010173803,0.13315152,0.008489163
7.5769,6.2655907,32.5635,3.2357,8.107163,0.5,5.4504,-5.8156,0.020169271,0.009837844,0.4165735,-0.09255514
10.0844,6.3809576,32.1826,2.0858,6.968872,0.5,8.6694,-1.1955,0.029788142,0.010000408,0.6947277,-0.20477222
10.4344,6.264877,26.9444,2.5699,7.276719,0.5,7.0157,1.2348,0.030042525,0.009594708,0.7104312,-0.2330032
8.3224,6.231824,29.499,3.7293,7.547866,0.5,4.7962,-3.5495,0.021957228,0.0099795265,0.48860732,-0.096102536
8.2302,6.481661,30.6843,2.3281,7.478303,0.5,6.0401,-4.4227,0.018506112,0.010243352,0.37871864,-0.074721724
10.8447,6.353053,30.4216,2.6287,7.683988,0.5,3.1981,-1.9765,0.017273853,0.009614808,0.39961174,-0.16643168
