case_name,AR,Lambda_c_4,c_r_extension_factor,D_f,twist_r,delta_twist_k,delta_twist_t,alpha,beta,drag,lift,side_force,pressure_drag,viscous_drag,pressure_lift,pressure_side_force,Cd,Cl,pitching_moment,Cm,Cf,L_D_ratio,Cl2_over_pi_AR,mahal_dist
geo-00271701-ceea-4622-8dae-45bcb051c900,7.6918,31.101,1.056,247.9048,7.0987,-3.848,-5.7325,2.8463,0,275210.91287881584,3056787.508,-43.01621518,238389.40452164612,36821.508357169056,3065182.434694176,-43.58463038,0.060437471,0.6712833570904945,-6298840.525,-0.176352153,0.008086115,11.10707230333065,0.018648070568686042,1.744781967161433
geo-00398072-71c6-481a-a2bb-a1da42782457,8.9243,25.0509,1.2408,245.1602,5.6113,-6.2489,-7.1479,2.1361,0,105045.79106310196,1782054.2167354694,45.22596185506131,65559.32407945949,39486.46698364221,1783777.870942119,43.26365648747577,0.021912176,0.3717301356569811,-3945343.104,-0.103383968,0.008236692,16.96454659154283,0.00492869,1.2291483928527231
geo-0058d444-80bc-4f59-9901-c05bd0efb5db,10.9298,30.7725,1.3858,240.1349,3.5168,-3.2801,-4.365,0.6225,0,67711.56466,1218735.8796359308,16.58817057,26944.946317570702,40766.61833945869,1219093.191101255,15.109622260785926,0.013587083,0.244552997,-5181770.758,-0.132596913,0.00818193,17.99893246905526,0.001741742,1.391503719189076
geo-00724dae-a24c-43cd-8dbc-ea955fb6fafd,10.264,27.8882,1.2451,242.8121,8.7652,-4.9344,-4.7445,2.2845,0,354743.74358228315,3258990.4916151585,-12.93058483,318265.33153290465,36478.41204937898,3269330.3165552723,-5.851868982,0.073912069,0.6790217890225501,-8559558.38,-0.239760988,0.007600362,9.186886451344087,0.014298843239985521,1.8304249490690767
geo-00ab83f6-af96-4ae8-800b-80f6d6a07653,7.5739,25.7602,1.1526,240.0331,6.0655,-5.9284,-2.7741,3.6676,0,232456.73333068533,2671575.668759865,-200.3246263,195991.55912986028,36465.174200824695,2679067.1060940484,-200.3662228,0.049678119,0.5709400327277832,-6300327.725,-0.162619062,0.007792899,11.492786767158842,0.013699715608786314,1.0916601952972267
geo-00dd24d8-be7d-4955-8974-71660ed03717,8.0934,28.1701,1.2864,256.2297,3.4219,-3.7645,-2.1879,0.1141,0,67032.88205061803,797389.8804522671,-0.300498757,26516.611765734928,40516.27028488362,797453.0250134232,0.1299369070399052,0.013811984,0.1643005046337765,-4775668.711,-0.115140806,0.008348248,11.895503461273558,0.001061688,1.983833198673217
geo-00fec490-ac5e-4b72-9181-705a517c3e09,8.371,25.8775,1.085,249.044,5.9428,-6.4524,-7.2644,0.5322,0,73953.15497448172,559142.3526322468,249.69598920029563,34611.145357700414,39342.00961678007,559581.0337678096,250.0982559507782,0.016107039,0.1217815196512616,-1446828.94,-0.041334547,0.008568667,7.560764011,0.000563943,1.7728225262273105
geo-0122edbc-b33c-4155-af06-7a8063394184,10.0507,31.29,1.2499,252.4215,8.8571,-6.8534,-3.484,2.1543,0,228840.43971063895,2960331.930566889,-11.25399544,190847.1196274225,37993.32008321638,2965642.9205518463,-14.16610728,0.047607899,0.6158665957168769,-9726155.671,-0.264299929,0.007905715,12.936227243358472,0.012012326137397434,1.3556557832006606
geo-01284560-d331-40be-b5e6-e666e5df23bf,8.1766,36.8409,1.2745,250.9782,8.6713,-6.775,-3.6186,1.1598,0,119552.51767439384,2534565.438479272,61.15824842,79655.75213,39896.76554634681,2536416.742624652,61.39505924996148,0.024712336,0.5239122804734506,-10421649.21,-0.254828638,0.008246895,21.200435488797158,0.010685492198462916,1.6778398238061423
geo-015463c4-1e68-4c7f-bb87-743611c4ae2d,9.6719,26.0461,1.2963,242.8887,7.4553,-4.9002,-6.5967,2.6914,0,278791.56605366984,2904978.300203736,95.8050811,241878.78356564807,36912.78248802164,2913414.889651391,92.49341848,0.057292447,0.5969811723564792,-7425238.496,-0.194248779,0.00758564,10.419893045274199,0.011728963,0.9585107701657134
geo-0156de14-2a98-4f1d-b175-9db108fec761,8.5573,25.9504,1.221,255.9958,8.3351,-6.1663,-5.5781,2.9568,0,282301.8522089021,2909022.4329375997,97.29307969986422,245067.92882405283,37233.92338484991,2918194.875014891,96.56029125308032,0.059205123,0.6100882069994765,-7074358.475,-0.184266797,0.00780876,10.30465230807248,0.013845181,1.1401250436273525
geo-015c5e59-55a4-4898-af32-47f550a89b56,9.3805,31.9285,1.3723,256.343,7.426,-6.7122,-5.8694,0.3952,0,78674.07431455521,1515420.7134523245,-18.94568157,37216.599905138806,41457.474409416565,1516100.8433715764,-16.02940284,0.015842651,0.3051612738937579,-5724202.349,-0.137071641,0.008350005,19.262008821271444,0.00315997,0.9642935783809142
geo-01692350-101b-458c-b596-ceabe1f86cf0,8.743,25.0117,1.0175,243.8369,3.7409,-5.9963,-2.5198,1.0784,0,66071.42137224764,396178.9811070569,-144.2626536,27037.291928212315,39034.12944403537,396614.7619598912,-149.0905874,0.014667812,0.087951473,-1623988.589,-0.049116019,0.008667301,5.996223070107413,0.000281628,2.0341933074577225
geo-0184945e-ec67-4a1e-bd85-212279a97c98,8.5793,26.8247,1.073,256.0887,8.7011,-3.9736,-3.9915,3.0317,0,469866.8638359512,3472345.058340667,-192.8397379,433886.2230682997,35980.640767652214,3490806.563329895,-193.7389362,0.1026649788511434,0.7587005158611915,-6246419.581,-0.179391269,0.007863286,7.390061580407579,0.02135694,3.3469333957370404
